model,hour,nlpd,crps,pit,standardized_residual,cover_50,width_50,cover_80,width_80,cover_95,width_95
baseline_analog,10.0,1.1454411749676368,0.439731308948248,0.5519831517567454,0.1470432826801697,0.6451612903225806,1.2812198338269578,0.9161290322580645,2.4192665417134567,0.9806451612903225,3.654794472947706
baseline_analog,11.0,1.6050827898937787,0.6588742042827568,0.4326209596790319,-0.24121040244399733,0.6180645161290322,1.940669732381903,0.8916129032258064,3.695683227050702,0.9612903225806452,5.658811045606163
baseline_analog,12.0,1.7562052238181494,0.7842609709054666,0.4859238474885668,-0.07005474864101695,0.5858064516129032,2.122179330545943,0.8774193548387097,4.117625163420304,0.952258064516129,6.289078437686196
baseline_analog,13.0,1.8914441668812194,0.90170312087699,0.52221284775303,0.04760227773867506,0.5612903225806452,2.3236823635013337,0.8593548387096774,4.524696486877526,0.9535483870967741,6.914476702002813
baseline_analog,14.0,1.9919194192263516,1.003050009870708,0.5428665234694996,0.12970561846891132,0.5406451612903226,2.504081388418161,0.84,4.845313307120901,0.9406451612903226,7.407023052773663
baseline_analog,15.0,2.047031945731229,1.0593814437760984,0.5289018325367185,0.10026625026809576,0.5290322580645161,2.643676605724659,0.8451612903225807,5.155195160481237,0.9432258064516129,7.784327745657756
baseline_analog,16.0,2.090496631153993,1.1021708791207463,0.5284214124916952,0.09244949188589723,0.5212903225806451,2.7064162443173285,0.8270967741935484,5.2780438318158724,0.9367741935483871,7.971206773462849
baseline_analog,17.0,2.121609691554235,1.1393743259043416,0.5191223690745722,0.06693872425925348,0.5096774193548387,2.728410409199985,0.8258064516129032,5.37898902550362,0.9354838709677419,8.136824513586355
baseline_analog,18.0,2.1348353305563794,1.158511609532,0.5281925550373796,0.10475035496077117,0.5019354838709678,2.691694431294963,0.8090322580645162,5.329170646552773,0.9329032258064516,8.114994771951208
baseline_analog,19.0,2.1183611247376692,1.1381888939013904,0.5369698963433119,0.12381693620929299,0.4838709677419355,2.5883350454799454,0.8,5.1040052075577425,0.9225806451612903,7.8272156889527995
baseline_analog,20.0,2.023431898609329,1.0317812303701164,0.4990094884248957,-0.010985265245782114,0.5006451612903225,2.497426768937316,0.8141935483870968,4.819062482652979,0.9367741935483871,7.415597067042621
baseline_analog,21.0,1.9016041700148067,0.9063193067807002,0.5166335765105043,0.04960186149722233,0.5264516129032258,2.2502268507848435,0.8283870967741935,4.402846382852294,0.9393548387096774,6.779357823829731
baseline_analog,22.0,1.7823895495129536,0.8129743576424873,0.4782951796737427,-0.07153763893270813,0.5264516129032258,2.0432143495685953,0.8374193548387097,3.977447694999889,0.9419354838709677,5.955792921610133
baseline_analog,23.0,1.766976482360986,0.8025502228880956,0.5518396965768138,0.18264118728229134,0.5264516129032258,2.002289961190094,0.8258064516129032,3.8528364423455814,0.944516129032258,5.933485443098345
baseline_functional,10.0,0.6928367153165761,0.25020204801295154,0.4547778186298224,-0.1345834516167851,0.727741935483871,0.8562113362840817,0.9380645161290323,1.625681623134381,0.9909677419354839,2.4833640450453918
baseline_functional,11.0,1.4191950637810775,0.5408427581876012,0.37350168675942236,-0.3907142909709174,0.6219354838709678,1.6248181377149982,0.9032258064516129,3.0864742353454586,0.9819354838709677,4.72219903878079
baseline_functional,12.0,1.6106519642082309,0.6596773214848216,0.4192476343440989,-0.2556615299327939,0.6025806451612903,1.883980340575822,0.8812903225806452,3.580868332186406,0.967741935483871,5.475560449540074
baseline_functional,13.0,1.7620985574249677,0.7692793720203004,0.46019531577555456,-0.13467802056493086,0.6258064516129033,2.098761542656232,0.8490322580645161,3.9889105247782357,0.9561290322580646,6.099538961959198
baseline_functional,14.0,1.870187353145518,0.866243036167418,0.4844593661912779,-0.05805140714075702,0.5690322580645162,2.2780308340506195,0.8503225806451613,4.329109948975725,0.9561290322580646,6.619935544052612
baseline_functional,15.0,1.9400167009085554,0.9324107090399327,0.48367423289535644,-0.06330999032688128,0.5703225806451613,2.4483850742434674,0.8490322580645161,4.652035183026497,0.96,7.116708616183475
baseline_functional,16.0,1.9982925639251663,0.9910600079335882,0.4780154936754584,-0.08303989404355329,0.5574193548387096,2.546882258822481,0.8451612903225807,4.83937395759071,0.9509677419354838,7.403151094047546
baseline_functional,17.0,2.043983947431072,1.0415069066097038,0.47386045371570845,-0.0983253021009106,0.5406451612903226,2.6121223773261484,0.8258064516129032,4.963568205309352,0.9587096774193549,7.590156741324694
baseline_functional,18.0,2.06646766027279,1.0691795615637456,0.480291167572937,-0.07136440060314043,0.5290322580645161,2.6443045790175366,0.8193548387096774,5.021732253041662,0.9535483870967741,7.6763068768298295
baseline_functional,19.0,2.053852415485042,1.0578904247430594,0.4831414362288833,-0.057141404251944555,0.512258064516129,2.583679543544782,0.8206451612903226,4.907929127695307,0.952258064516129,7.506403096290759
baseline_functional,20.0,1.9800371258089136,0.9821736759257353,0.4586376918164754,-0.14271908619767398,0.5380645161290323,2.4916582441601096,0.8361290322580646,4.733712550659566,0.9574193548387097,7.238961833157004
baseline_functional,21.0,1.8677467463667317,0.8704591701051555,0.4537488631305997,-0.14690941091271262,0.56,2.3686623407007135,0.8554838709677419,4.496101495971828,0.9716129032258064,6.876027450245263
baseline_functional,22.0,1.758937540590682,0.7881794723216525,0.43841644574310945,-0.1980538847645058,0.5367741935483871,2.0562803948782817,0.8387096774193549,3.9051089986662495,0.9690322580645161,5.969340904520699
baseline_functional,23.0,1.7326356622196055,0.7627561048336241,0.5007033432023272,0.008069428706132278,0.5548387096774193,2.0658579461959508,0.8696774193548387,3.925693764573506,0.967741935483871,5.99877050117951
baseline_persistence,10.0,0.8952140191325789,0.32265842886652335,0.54762763576317,0.1529228710363906,0.6116129032258064,0.9628224041618251,0.8903225806451613,1.830790467872811,0.9883870967741936,2.7979211843715617
baseline_persistence,11.0,1.5840129590042822,0.6539728753977849,0.40225206571588906,-0.318420114187551,0.5703225806451613,1.799578820913031,0.8709677419354839,3.417475765122995,0.9703225806451613,5.223491910189143
baseline_persistence,12.0,1.769155476638367,0.7924952987719027,0.46647844624623463,-0.10794516282988864,0.5432258064516129,2.0627141743383897,0.8516129032258064,3.9167426127804132,0.96,5.983308013185915
baseline_persistence,13.0,1.912030715819337,0.9123035656451807,0.50700995284814,0.024648129921279037,0.5432258064516129,2.280888748550928,0.8206451612903226,4.330400158504431,0.9548387096774194,6.618985721268517
baseline_persistence,14.0,2.0111032828043838,1.0141477719323448,0.5343740284201224,0.1197942324693012,0.5135483870967742,2.467515736341846,0.8154838709677419,4.6866451900422685,0.9548387096774194,7.162205927245453
baseline_persistence,15.0,2.0598896902202255,1.0683254727153562,0.5230457134379576,0.07713691977088075,0.512258064516129,2.6322502419597953,0.8219354838709677,4.998013609969658,0.9548387096774194,7.6378228624373365
baseline_persistence,16.0,2.0957884168818453,1.1073018813345437,0.5211885364862512,0.0662133330286056,0.5096774193548387,2.7196400118735333,0.8283870967741935,5.168351206995651,0.9535483870967741,7.896097691277452
baseline_persistence,17.0,2.118045261204361,1.1321748410225516,0.5100096109810296,0.024514147216541663,0.5187096774193548,2.760103676993957,0.8167741935483871,5.245654979354606,0.952258064516129,8.016445785063063
baseline_persistence,18.0,2.1176055421763347,1.132751617061666,0.5192309925111752,0.06078990263832519,0.5148387096774194,2.7675387731739183,0.8025806451612904,5.262520654119531,0.9587096774193549,8.044177928587
baseline_persistence,19.0,2.08805548503916,1.1007914553057725,0.521839761080042,0.07162495869679247,0.5212903225806451,2.7047746419697467,0.8180645161290323,5.142919239376226,0.9561290322580646,7.861472299114609
baseline_persistence,20.0,1.9997110118244168,1.0036408810469215,0.4744727183595539,-0.09402803645972595,0.5458064516129032,2.59008851682672,0.8374193548387097,4.922883323806568,0.9651612903225807,7.525616536673555
baseline_persistence,21.0,1.899449922139113,0.8848817689357797,0.49882707329501846,-0.007566890969565579,0.6090322580645161,2.5990409723023467,0.8864516129032258,4.9374630207421895,0.983225806451613,7.546918915943518
baseline_persistence,22.0,1.8204915178714272,0.8296137556916953,0.4633402351787707,-0.12403315777218962,0.5625806451612904,2.267241053400907,0.8619354838709677,4.3092684424470775,0.9741935483870968,6.586550444060936
baseline_persistence,23.0,1.8550291971205837,0.8517634814115554,0.5355536634608562,0.10357786258782757,0.5858064516129032,2.4249518316475087,0.8877419354838709,4.608343531002267,0.9729032258064516,7.044361608192685
gp_additive,10.0,0.6923993030005638,0.2598596611698491,0.5197632731518212,0.06822530037927253,0.655483870967742,0.8016624608471136,0.9045161290322581,1.5227064573885063,0.9793548387096774,2.3295485222644596
gp_additive,11.0,1.507678316534605,0.5955932680412449,0.3552986176958157,-0.5232749462936972,0.42193548387096774,1.183413668660064,0.7238709677419355,2.247343021307409,0.9045161290322581,3.4345743459242852
gp_additive,12.0,1.7188137102984482,0.7391415894264061,0.443978172107514,-0.18004986851651764,0.4541935483870968,1.530636047394451,0.7367741935483871,2.906848046104839,0.92,4.446394667279005
gp_additive,13.0,1.9174536725588442,0.8906007512190756,0.49666234495036476,0.011338737554706928,0.4670967741935484,1.8166779397851773,0.7406451612903225,3.4516388242048532,0.9083870967741936,5.276456112096057
gp_additive,14.0,2.0756932988124266,1.038403713198188,0.5266996923196006,0.1296940386979966,0.447741935483871,2.040736518954819,0.7212903225806452,3.876114089249238,0.895483870967742,5.923706129994838
gp_additive,15.0,2.1597193117302083,1.1332009112474644,0.5143473240835704,0.08426764539172699,0.4206451612903226,2.209632591605149,0.7006451612903226,4.195593643639565,0.9019354838709678,6.4098822397735855
gp_additive,16.0,2.230474920179048,1.2096804697180215,0.5113995265463036,0.0728857269621805,0.4167741935483871,2.32889936477306,0.7070967741935484,4.422508719483427,0.8941935483870967,6.7578238167388305
gp_additive,17.0,2.271870624328004,1.2599446668604852,0.5000092884648877,0.029280434921441438,0.4129032258064516,2.409744434753005,0.7019354838709677,4.577492444950248,0.8838709677419355,6.990166301466116
gp_additive,18.0,2.278813542985545,1.2730763062786963,0.5102196334926563,0.07380238799542693,0.40903225806451615,2.458759448229132,0.7070967741935484,4.668896667179851,0.8941935483870967,7.135276167591598
gp_additive,19.0,2.238959612905567,1.2387956566262563,0.5132683140791197,0.08546325707036412,0.4206451612903226,2.4846177988642126,0.7341935483870968,4.718097684288046,0.9032258064516129,7.209987385459313
gp_additive,20.0,2.117960830839792,1.1275273314667082,0.4727907321761454,-0.07620017387671241,0.47096774193548385,2.4921783986744592,0.7703225806451612,4.7326996495798,0.9406451612903226,7.2327852123476175
gp_additive,21.0,1.9587111157188464,0.9577947600180549,0.4974031000251562,0.010369129198025184,0.5406451612903226,2.486970910723946,0.8361290322580646,4.725323178198481,0.9690322580645161,7.223404609049375
gp_additive,22.0,1.873991428624192,0.8714236559136896,0.47180073662686817,-0.07652635736787737,0.5832258064516129,2.4759270271993965,0.8774193548387097,4.704968122793261,0.9806451612903225,7.199191145483071
gp_additive,23.0,1.8561669435265042,0.8471060508273912,0.5399760047990402,0.13779653208453388,0.6232258064516129,2.4621616201050083,0.8864516129032258,4.682758776784491,0.9806451612903225,7.1579191894339464
gp_locally_periodic,10.0,0.6924875928598149,0.2590872757380283,0.5120200476033826,0.04710453845583904,0.6761290322580645,0.8103843971922711,0.9032258064516129,1.5388568574179569,0.9819354838709677,2.351432710846212
gp_locally_periodic,11.0,1.509283631660854,0.6018660429617646,0.35136443679006135,-0.5242383206515714,0.4064516129032258,1.2035344969602735,0.7148387096774194,2.2850999680346704,0.9109677419354839,3.4941637806995036
gp_locally_periodic,12.0,1.729177748602666,0.7553298816799242,0.44324773754926433,-0.1717600146942956,0.44,1.5926961821764962,0.7548387096774194,3.0220199015775777,0.927741935483871,4.622312800337109
gp_locally_periodic,13.0,1.946768153367972,0.9305493018169495,0.4968463081577233,0.02259196676960898,0.4335483870967742,1.9356840016879266,0.7548387096774194,3.6765134489826217,0.9174193548387096,5.621323864250195
gp_locally_periodic,14.0,2.1248698326962305,1.1072927628217983,0.5269512549103083,0.1393576576362185,0.4335483870967742,2.224078368179946,0.7303225806451613,4.228444403747446,0.9032258064516129,6.463390097493149
gp_locally_periodic,15.0,2.2234048904145043,1.2298981723452957,0.5167383297534042,0.10264671846694148,0.41935483870967744,2.4618825184911217,0.7096774193548387,4.678027286570282,0.9058064516129032,7.151873039118004
gp_locally_periodic,16.0,2.3134274437083424,1.3400314986466246,0.5152852010243113,0.0964529970923953,0.41419354838709677,2.6509698065348335,0.712258064516129,5.040899176442024,0.9135483870967742,7.701513352273549
gp_locally_periodic,17.0,2.372276132920553,1.418131661878615,0.506619837322858,0.06122859327128429,0.4232258064516129,2.799948356021675,0.7212903225806452,5.321958711090676,0.9045161290322581,8.139772562583607
gp_locally_periodic,18.0,2.393734010740563,1.4531629788416303,0.5160992317665499,0.10019877219420854,0.42451612903225805,2.9172558085607285,0.7238709677419355,5.5409888195653885,0.9045161290322581,8.472391519068012
gp_locally_periodic,19.0,2.371739390651019,1.4374415575522732,0.5192248002012501,0.10974471454769984,0.44129032258064516,3.00519246934974,0.7354838709677419,5.709565273483806,0.92,8.72769446582812
gp_locally_periodic,20.0,2.284165082978554,1.3424813373971498,0.48600460553050684,-0.023266948868038526,0.4567741935483871,3.073276767885542,0.7974193548387096,5.837124115330055,0.944516129032258,8.920991799622431
gp_locally_periodic,21.0,2.179361052963293,1.2009041424064222,0.5063886577523204,0.04529421203273037,0.52,3.122684014846806,0.8541935483870968,5.9331135054710336,0.9625806451612903,9.070519438021876
gp_locally_periodic,22.0,2.1260188281092045,1.1285136357151777,0.4860415013771439,-0.025288526828363394,0.5496774193548387,3.16153969084081,0.88,6.005232614683544,0.9780645161290322,9.178451953151711
gp_locally_periodic,23.0,2.1122654579725806,1.1019529266602979,0.53730660319549,0.13771385371872433,0.5729032258064516,3.1876730868072145,0.9045161290322581,6.056752042926707,0.9793548387096774,9.259605321032835
gp_matern32,10.0,0.692829516377997,0.25922974317620545,0.5124942753384807,0.04969418017505146,0.6748387096774193,0.8089114158337637,0.9070967741935484,1.5369986096570893,0.9806451612903225,2.349912360110711
gp_matern32,11.0,1.5072703728186125,0.6013232650594197,0.351735459359741,-0.5229701851834397,0.4103225806451613,1.2025145861287505,0.7148387096774194,2.285865184356335,0.9096774193548387,3.491444248215833
gp_matern32,12.0,1.7276248882030796,0.754805782685338,0.4437384781108295,-0.17104442570982295,0.4529032258064516,1.5907820282786818,0.7587096774193548,3.0222258830676814,0.9264516129032258,4.617338545048431
gp_matern32,13.0,1.9457263385344534,0.9306312771369201,0.4968741735523863,0.022382569458013844,0.432258064516129,1.9332853755287815,0.752258064516129,3.6733749843683423,0.92,5.614403961036165
gp_matern32,14.0,2.1239954308344355,1.106833519124585,0.5263751120743593,0.13781519496032316,0.44,2.2216796977492965,0.727741935483871,4.221330335204806,0.9083870967741936,6.454663868827062
gp_matern32,15.0,2.2221639314268273,1.2291106849940083,0.5164769626719817,0.10058670520518441,0.4154838709677419,2.459243898314916,0.7148387096774194,4.671195896258504,0.9045161290322581,7.141734710971722
gp_matern32,16.0,2.3113790263072604,1.3385020293540328,0.5148968915894241,0.09373051695904273,0.41161290322580646,2.6501928488605664,0.7135483870967742,5.032896306416856,0.9109677419354839,7.690401285984825
gp_matern32,17.0,2.3685842986932157,1.4159423628711312,0.5062929349613948,0.058533495226167055,0.4206451612903226,2.800813221843897,0.7251612903225807,5.320928016535602,0.9032258064516129,8.124243201488007
gp_matern32,18.0,2.389884778330881,1.4506260894190561,0.516052531429198,0.09771276521392049,0.42838709677419357,2.920000037186335,0.7290322580645161,5.538176968689631,0.9006451612903226,8.462108457821914
