model,hour,nlpd,crps,pit,standardized_residual,cover_50,width_50,cover_80,width_80,cover_95,width_95
baseline_analog,10.0,1.1548642455676936,0.4431576098318051,0.5430907366913714,0.12840843549450295,0.6348387096774194,1.3009761392095818,0.9148387096774193,2.4696249458469195,0.9754838709677419,3.7035822992865026
baseline_analog,11.0,1.6154415419328272,0.6625980039541689,0.43009191710045086,-0.2453867003156396,0.6309677419354839,1.9586975775099633,0.8916129032258064,3.7187680952351667,0.9638709677419355,5.715964294598727
baseline_analog,12.0,1.7686805904663832,0.7890769886043926,0.4841332378685553,-0.0772380330138008,0.5741935483870968,2.1421619761409296,0.8774193548387097,4.144886929329378,0.96,6.341168076561921
baseline_analog,13.0,1.906138526958149,0.9087535110495377,0.5176346666150641,0.034962804463820885,0.5638709677419355,2.3518177561311306,0.8412903225806452,4.507782895337098,0.9483870967741935,6.956283141088527
baseline_analog,14.0,2.0023829900036993,1.0082487900879582,0.5406808960788487,0.11656879018576742,0.5496774193548387,2.5270452991835346,0.8283870967741935,4.829166536333566,0.9406451612903226,7.4434887995107335
baseline_analog,15.0,2.0570725571900965,1.0662171238643334,0.5275470067276867,0.08432884572371792,0.5083870967741936,2.65759890383581,0.84,5.139134024925219,0.9380645161290323,7.811904423616064
baseline_analog,16.0,2.101751689737238,1.11267875505538,0.5262933219807651,0.0800699377123484,0.5019354838709678,2.7033629617816315,0.8361290322580646,5.295396480377276,0.9354838709677419,8.031484678864407
baseline_analog,17.0,2.1323440202418085,1.1513250743769197,0.5167553586056982,0.053293324747407785,0.5006451612903225,2.734661017093299,0.8141935483870968,5.3870973481499105,0.9406451612903226,8.195215865214516
baseline_analog,18.0,2.148267875473219,1.1735705408986727,0.5271700498609956,0.08833948044517732,0.4774193548387097,2.685909774046902,0.7961290322580645,5.357728268075387,0.9341935483870968,8.156566774418929
baseline_analog,19.0,2.1326361074205833,1.155242792484073,0.5317812566518954,0.1068422307743655,0.4632258064516129,2.59249295054032,0.7896774193548387,5.088593250778125,0.9380645161290323,7.917034072756814
baseline_analog,20.0,2.037678130479417,1.0473483249512934,0.49498809915436265,-0.027656297261280154,0.49548387096774194,2.494167630875886,0.7974193548387096,4.831731662903802,0.9419354838709677,7.578158681442823
baseline_analog,21.0,1.9185683667064495,0.9219413776273834,0.5154885152001858,0.029921189237352045,0.5096774193548387,2.250671815264756,0.8141935483870968,4.431393102821294,0.944516129032258,6.909167865680968
baseline_analog,22.0,1.7996066852157984,0.8285681600065126,0.47467577452251486,-0.09081738668219613,0.49032258064516127,2.0265056349707677,0.8064516129032258,3.9767168761730134,0.9419354838709677,6.024143542662578
baseline_analog,23.0,1.7891843992562952,0.8199769566826827,0.5481054756790577,0.15941277182811744,0.5135483870967742,1.98949653960864,0.8232258064516129,3.876955468067563,0.9329032258064516,5.968069941548561
baseline_functional,10.0,0.6926521420434235,0.2501434995848234,0.4553389967167856,-0.13275144256794635,0.7303225806451613,0.8562633633276829,0.9380645161290323,1.6257803988231376,0.9909677419354839,2.483514967993996
baseline_functional,11.0,1.418319517002662,0.5402174640420137,0.37541253039714634,-0.3851010886904938,0.6193548387096774,1.625942676496436,0.9058064516129032,3.0886419671545897,0.983225806451613,4.725481766046746
baseline_functional,12.0,1.6089921406212961,0.6584783520772836,0.4212098225516187,-0.24941968045078589,0.6025806451612903,1.8851837521220578,0.8812903225806452,3.583249474512706,0.9690322580645161,5.479116316775015
baseline_functional,13.0,1.7612229982288086,0.7689183020208412,0.4621796930936394,-0.12800599705572502,0.6219354838709678,2.100480638497897,0.8490322580645161,3.9922186270058844,0.9548387096774194,6.104525987411736
baseline_functional,14.0,1.8695488541409913,0.8660955585128778,0.4864922499371094,-0.05111576150214251,0.5703225806451613,2.2801328091301163,0.847741935483871,4.333131465680235,0.9548387096774194,6.626028800955227
baseline_functional,15.0,1.939100476449804,0.9320286298482398,0.4855355380536796,-0.056707122977617284,0.5625806451612904,2.450723731070605,0.8490322580645161,4.656493567305562,0.96,7.1233163245172335
baseline_functional,16.0,1.9973141803613987,0.9903937758853527,0.4794843611922777,-0.07776503945188235,0.5561290322580645,2.547959395528617,0.8464516129032258,4.841297695459672,0.9509677419354838,7.406112560658556
