model,nlpd,crps,energy,variogram,max_crps,max_absolute_error,max_bias,sim_cover_80,sim_cover_95,max_cover_80,max_cover_95
baseline_analog,1.8481953748748534,0.8829057706751368,3.733094547764042,0.12278436097858628,0.8822908420762127,1.2486617775739686,-0.31105376934445333,0.8103225806451613,0.9406451612903226,0.8464516129032258,0.944516129032258
baseline_functional,1.7315766041131002,0.7825537888071383,3.3556211505855567,0.11708006874639332,0.764555130705319,1.0720913969150838,-0.08187725544292679,0.8270967741935484,0.9548387096774194,0.8554838709677419,0.9625806451612903
baseline_persistence,1.8351642015693581,0.8634710569982148,3.7311100529832215,0.14741642723091816,0.8161159618939707,1.1602586437567108,-0.04799241813993387,0.8219354838709677,0.9535483870967741,0.8438709677419355,0.9716129032258064
gp_additive,1.8926662867604043,0.9105269963050678,3.863487089798933,0.1275845108234304,0.9256507763069826,1.319567928880257,0.0020539176619480035,0.7419354838709677,0.8929032258064517,0.7264516129032258,0.9174193548387096
gp_locally_periodic,2.0197828066975494,1.0576470713240727,4.448594106871019,0.12974950561559967,1.0348878806593265,1.4957797407844569,0.07162652972138664,0.7445161290322581,0.9135483870967742,0.7251612903225807,0.9187096774193548
gp_matern32,2.0172177311412183,1.055163139792227,4.437451307596013,0.12954496497127624,1.0333198891850792,1.4929873435598457,0.07072759660806649,0.743225806451613,0.912258064516129,0.7264516129032258,0.9187096774193548
gp_matern52,2.111378259005695,1.1667325259375723,4.900324800587027,0.1355568144684852,1.1236265725684618,1.6184204858372697,0.14258641217923684,0.7212903225806452,0.9045161290322581,0.6838709677419355,0.9109677419354839
gp_periodic,2.1967300688125238,1.0999203165917064,4.65906759673125,0.1567783211966835,1.1338853066890946,1.6169394529129482,0.26410446467018583,0.5419354838709678,0.7212903225806452,0.6890322580645162,0.9058064516129032
gp_se,2.310046899471548,1.3713889505384869,5.759215882808422,0.15380616879010758,1.3284634831479003,1.8732649616579111,0.33887765840303324,0.6787096774193548,0.8709677419354839,0.5935483870967742,0.832258064516129
