kernel,start,objective,converged,evaluations,boundary_hit,param_0,param_1,param_2,test_year,best_for_fold,param_3,param_4
se,0,47770.26337825101,True,133,False,1.5790447799282297,1.3821055457134885,-1.9746748268470842,2001,False,,
se,1,47770.277002738556,True,202,False,1.5754224955532314,1.3806110815118056,-1.974674826847085,2001,False,,
se,2,47769.97317913662,True,109,False,1.57719428736662,1.3812546333897537,-1.9712832974142436,2001,False,,
se,3,47769.81103827466,True,97,False,1.5787878427791884,1.3908435855895864,-1.959730479214648,2001,False,,
se,4,47769.571025233556,True,127,False,1.571393311930686,1.3880734408250177,-1.9564318094224151,2001,True,,
se,5,47770.04798125966,True,121,False,1.562593277247207,1.3825290966316026,-1.9729342340808251,2001,False,,
se,6,47769.44955684457,True,133,False,1.5739717815785095,1.3885250890984042,-1.9619513771912538,2001,True,,
se,7,47770.11594747282,True,139,False,1.5748850768070666,1.384542222299431,-1.9536761365320077,2001,False,,
se,8,47769.342418238244,True,103,False,1.5681999168930063,1.383949288737137,-1.9627983437405263,2001,True,,
se,9,47769.8909792561,True,103,False,1.5610558338892133,1.3807953517352851,-1.9693417725780822,2001,False,,
se,10,47769.311518999544,True,85,False,1.5684247821907595,1.3856521965425452,-1.963182104653661,2001,True,,
se,11,47831.38436309353,False,240,False,1.5585793362385967,1.3693150790279307,-1.8839957159813137,2001,False,,
se,12,47769.60169017015,True,115,False,1.5700410716436044,1.3868391882079825,-1.9680550671516448,2001,True,,
se,13,47871.00859102526,False,240,False,1.5398232464842736,1.3211665640370354,-2.0653539377128665,2001,False,,
se,14,47770.382904497215,True,109,False,1.558558699846443,1.3812293912298863,-1.956947535811753,2001,False,,
se,15,47769.661717125564,True,133,False,1.5737847156514608,1.3840050120321556,-1.9578052208630634,2001,True,,
se,16,47769.37230326081,True,97,False,1.5677321345081139,1.3850935041208494,-1.9659063740955636,2001,True,,
se,17,47769.48691466774,True,115,False,1.579876450942872,1.3848498859342964,-1.9646240401174806,2001,True,,
se,18,47770.14406397991,True,139,False,1.5801959343975,1.3855912411945621,-1.973550490006566,2001,False,,
se,19,47769.653522146415,True,144,False,1.5790447799282292,1.3893337517688396,-1.9575229104452105,2001,True,,
matern32,0,44993.12159847446,True,127,False,1.7229563482403574,2.072151813292135,-2.314721492593746,2001,True,,
matern32,1,44992.85342030843,True,97,False,1.7342741874270415,2.0819715793433633,-2.3192822182702777,2001,True,,
matern32,2,44992.91938301698,True,139,False,1.7377301831473282,2.0832211999058523,-2.308604319134043,2001,True,,
matern32,3,44992.75366392282,True,201,False,1.739496640380698,2.080498018797875,-2.3147214925937467,2001,True,,
matern32,4,44992.853824766134,True,175,False,1.7445596865478894,2.082105663129716,-2.318099004004871,2001,True,,
matern32,5,44993.853046753575,True,127,False,1.7601363131368506,2.0888932761734416,-2.3222399106788654,2001,False,,
matern32,6,44995.423864822296,True,109,False,1.7033902423850282,2.0608761164314715,-2.3329169801567127,2001,False,,
matern32,7,44993.06988548329,True,109,False,1.7478025179574648,2.083618775106859,-2.31220912188554,2001,True,,
matern32,8,44993.09016605733,True,127,False,1.7307152011164812,2.08064810132279,-2.322700227019435,2001,True,,
matern32,9,44992.96852331105,True,173,False,1.7284703458536814,2.081622187313716,-2.3147214925937423,2001,True,,
matern32,10,44992.68399378695,True,144,False,1.7346571967290616,2.080403208809095,-2.314721492593744,2001,True,,
matern32,11,44992.90657151732,True,126,False,1.7240390199809563,2.0746512663020136,-2.314721492593744,2001,True,,
matern32,12,44992.81843312235,True,202,False,1.7260923930633867,2.0760149780935477,-2.3147214925937467,2001,True,,
matern32,13,44993.618886136865,True,115,False,1.757491804602862,2.087827603720071,-2.3216466226881756,2001,False,,
matern32,14,44993.2340391754,True,115,False,1.7373428114754,2.074624094634227,-2.3248300180936843,2001,False,,
matern32,15,44993.17922145774,True,144,False,1.7409452942793726,2.0842276553977053,-2.323577013015107,2001,False,,
matern32,16,44992.991814998546,True,115,False,1.7476957999705174,2.083659497054212,-2.3140722346935676,2001,True,,
matern32,17,44993.43392105483,True,103,False,1.7495952123258993,2.0870541860636,-2.3236540158073558,2001,False,,
matern32,18,44992.987619509426,True,167,False,1.7258307971537186,2.0802440080929143,-2.314721492593743,2001,True,,
matern32,19,44993.199850514946,True,97,False,1.7257916571798086,2.0727634192981204,-2.326294640919518,2001,False,,
matern52,0,45682.4425389153,True,109,False,1.6510005640842937,1.7846325351343653,-2.156033048578637,2001,False,,
matern52,1,45682.76431811572,True,115,False,1.6801274437885891,1.801843309648747,-2.1411453561054015,2001,False,,
matern52,2,45682.27852108695,True,109,False,1.6530007054383513,1.7871437022522823,-2.15110553207075,2001,False,,
matern52,3,45681.69784924551,True,121,False,1.6722721299358105,1.7911595398466154,-2.156971694971567,2001,True,,
matern52,4,45682.18391420736,True,97,False,1.677752045255337,1.790553932348196,-2.162668491326006,2001,False,,
matern52,5,45681.68528096858,True,121,False,1.6702062868847323,1.792409163171444,-2.158808377472156,2001,True,,
matern52,6,45681.75622779031,True,139,False,1.6615262751080992,1.7891087253648772,-2.1556615725780848,2001,True,,
matern52,7,45681.88470802584,True,115,False,1.6675500834492405,1.7927361710181555,-2.147143740999047,2001,True,,
matern52,8,45682.09682324405,True,109,False,1.6762681184530512,1.7957877097652506,-2.1450983848615865,2001,True,,
matern52,9,45682.90699786864,True,121,False,1.6466533480274463,1.7824688285902526,-2.1580582492263862,2001,False,,
matern52,10,45681.85070161125,True,115,False,1.659777696564566,1.79232133073366,-2.1511327334827466,2001,True,,
matern52,11,45681.76417510053,True,133,False,1.6635945466155595,1.7920250684137007,-2.1497776221979916,2001,True,,
matern52,12,45682.38807012457,True,133,False,1.674411388866615,1.7949715184859383,-2.1424633406353015,2001,False,,
matern52,13,45681.88174833475,True,132,False,1.6689895101233092,1.788632621520138,-2.159812334629234,2001,True,,
matern52,14,45683.26490620033,True,121,False,1.6672077079805379,1.8004143756983928,-2.137526203147264,2001,False,,
matern52,15,45681.7921706711,True,149,False,1.6707720638325076,1.7896498460265118,-2.1560330485786343,2001,True,,
matern52,16,45681.867651702785,True,121,False,1.6747993035255555,1.7982410227994738,-2.1527910064962708,2001,True,,
matern52,17,45682.524854358315,True,115,False,1.6690137314108664,1.7881124655546479,-2.1679059460837373,2001,False,,
matern52,18,45681.835906394714,True,219,False,1.674963222926351,1.7971497690118774,-2.156033048578638,2001,True,,
matern52,19,45682.11791653891,True,97,False,1.6549289116504395,1.788453172561066,-2.1508194630647317,2001,True,,
periodic,0,51604.224993934055,True,121,False,1.6510005640842935,0.1223248330653089,-1.6119583833839786,2001,True,,
periodic,1,51604.26181126175,True,201,False,1.6515194125077315,0.12188340182860247,-1.61195838338398,2001,True,,
periodic,2,51705.63575117855,False,240,False,1.6058625190185918,0.13912455184367045,-1.7026374942497609,2001,False,,
