kernel,start,objective,converged,evaluations,boundary_hit,param_0,param_1,param_2,test_year,best_for_fold,param_3,param_4
se,0,47530.35207347639,True,121,False,1.5558740485382827,1.373890709194695,-1.9798566121980155,2001,True,,
se,1,47530.50837565698,True,196,False,1.5522517641632845,1.372396244993012,-1.9798566121980166,2001,True,,
se,2,47530.72763312614,True,109,False,1.5540235559766724,1.3730397968709602,-1.976465082765175,2001,True,,
se,3,47530.34382312336,True,121,False,1.555617111389241,1.3744139125519996,-1.9875820422820234,2001,True,,
se,4,47530.4760099851,True,121,False,1.5482225805407386,1.371643767787431,-1.9842833724897906,2001,True,,
se,5,47530.45493839858,True,115,False,1.5574114918962758,1.374314260112809,-1.9781160194317564,2001,True,,
se,6,47530.55529115259,True,127,False,1.5508010501885623,1.3720954160608174,-1.989802940258629,2001,True,,
se,7,47530.31398701392,True,133,False,1.5517143454171196,1.3763273857806373,-1.9815276995993834,2001,True,,
se,8,47530.7869008665,True,109,False,1.563018131542075,1.3757344522183435,-1.9906499068079018,2001,False,,
se,9,47530.99443132774,True,103,False,1.555874048538282,1.3807953517352851,-1.9745235579290135,2001,False,,
se,10,47531.050899648624,True,91,False,1.563242996839828,1.377437360023752,-1.9910336677210363,2001,False,,
se,11,47581.685239407416,False,240,False,1.5533975508876654,1.3693150790279307,-2.0705357230637977,2001,False,,
se,12,47531.383237421185,True,109,False,1.546870340253657,1.3704095151703959,-1.99590663021902,2001,False,,
se,13,47603.19470628917,False,240,False,1.5346414611333423,1.3211665640370354,-2.0705357230637977,2001,False,,
se,14,47530.28543523847,True,115,False,1.5533769144955116,1.373014554711093,-1.9847990988791284,2001,True,,
se,15,47530.414924810844,True,133,False,1.5506139842615136,1.3757901755133621,-1.9856567839304389,2001,True,,
se,16,47531.20764981807,True,109,False,1.5625503491571824,1.3768786676020561,-1.9710881594464948,2001,False,,
se,17,47531.09358315978,True,115,False,1.5567057195529248,1.3766350494155029,-1.992475603184856,2001,False,,
se,18,47530.3547754662,True,133,False,1.5570252030075529,1.3773764046757686,-1.9787322753574972,2001,True,,
se,19,47530.311809216364,True,138,False,1.555874048538282,1.3729040787312528,-1.9853744735125858,2001,True,,
matern32,0,44538.46114346543,True,115,False,1.6997856168504102,2.0639369767733413,-2.3425730556611213,2001,False,,
matern32,1,44538.04603556796,True,115,False,1.7111034560370941,2.0655419063057763,-2.347133781337653,2001,True,,
matern32,2,44538.609727314266,True,133,False,1.732548397796397,2.075006363387059,-2.3591256599178627,2001,False,,
matern32,3,44538.491086477676,True,177,False,1.6983369629517346,2.0640683457602886,-2.342573055661122,2001,False,,
matern32,4,44538.051017276484,True,163,False,1.703400009118926,2.0656759900921293,-2.345950567072246,2001,True,,
